başlık,yazar,tür,konu
İnce Memed,Yaşar KEMAL,Roman,Toplumcu Gerçekçi
Kuyucaklı Yusuf ,Sabahattin ALİ,Roman,Toplumcu Gerçekçi
Yılanların Öcü,Fakir BAYKURT,Roman,Toplumcu Gerçekçi
Göl İnsanları,Kemal TAHİR,Öykü,Toplumcu Gerçekçi
Fil Hamdi,Aziz NESİN,Öykü,Toplumcu Gerçekçi
Dokuzuncu Harciye Koğuşu,Peyami SAFA,Roman,Bireyin İç Dünyasını Esas Alan Eserler
Huzur,Ahmet Hamdi Tanpınar,Roman,Bireyin İç Dünyasını Esas Alan Eserler
Hüzün ve Tesadüf,Mustafa KUTLU,Öykü,Bireyin İç Dünyasını Esas Alan Eserler
Yeşil Gece,Reşat Nuri GÜNTEKİN,Roman,Milli Edebiyat Zevk ve Anlayışını Devam Ettirenler
Vurun Kahpeye,Halide Edip ADIVAR,Roman,Milli Edebiyat Zevk ve Anlayışını Devam Ettirenler
Sodom ve Gomore,Yakup Kadri KARAOSMANOĞLU,Roman,Milli Edebiyat Zevk ve Anlayışını Devam Ettirenler
Üç İstanbul,Mithat Cemal KUNTAY,Roman,Milli Edebiyat Zevk ve Anlayışını Devam Ettirenler
İstanbul'un Bir Yüzü,Refik Halit KARAY,Roman,Milli Edebiyat Zevk ve Anlayışını Devam Ettirenler
Tutunamayanlar,Oğuz ATAY,Roman,Modernist Eserler
Kara Kitap,Orhan PAMUK,Roman,Modernist Eserler
Benim Adım Kırmızı,Orhan PAMUK,Roman,Modernist Eserler
Ölmeye Yatmak,Adalet AĞAOĞLU,Roman,Modernist Eserler
Parasız Yatılı,Füruzan,Öykü,Modernist Eserler
Anayurt Oteli,Yusuf ATILGAN,Roman,Modernist Eserler
Troya'da Ölüm Vardı,Bilge KARASU,Öykü,Modernist Eserler
Açlık Oyunları,Suzanne COLLİNS,Roman,Fantastik Romanlar
Harry Potter,J. K. ROWLİNG,Roman,Fantastik Romanlar
Ben Kirke,Madeline MİLLER,Roman,Fantastik Romanlar
Yüzüklerin Efendisi,J. R. R. TOLKİEN,Roman,Fantastik Romanlar
Ateş ve Kan,George R. R.,Roman,Fantastik Romanlar
Anna Karenina,L. N. TOLSTOY,Roman,Rus Edebiyatı Klasikler
Savaş ve Barış,L. N. TOLSTOY,Roman,Rus Edebiyatı Klasikler
Ana ,Maksim Gorki,Roman,Rus Edebiyatı Klasikler
Babalar ve Oğullar,İvan TURGENYEV,Roman,Rus Edebiyatı Klasikler
Suç ve Ceza,F. DOSTOYEVSKİ,Roman,Rus Edebiyatı Klasikler
Ölü Canlar,N. V. GOGOL,Roman,Rus Edebiyatı Klasikler
1984,George ORWELL,Roman,Popüler Eser
Hayvan Çiftiği,George ORWELL,Roman,Popüler Eser
Simyacı,Paulo COELHO,Roman,Popüler Eser
Fahrenheit 451,Ray BRADBURY,Roman,Popüler Eser
Sineklerin Tanrısı,W. GOLDİNG,Roman,Popüler Eser
Uçurtma Avcısı,Khaled HOSSEİNİ,Roman,Popüler Eser
Kavim ,Ahmet ÜMİT,Roman,Polisiye 
Doğu Ekspresinde Cinayet,Agatha CHRISTIE,Roman,Polisiye 
Sığınak,Chrıs EWAN,Roman,Polisiye 
AbumRabum,İskender PALA,Roman,Polisiye 
Sis ve Gece,Ahmet ÜMİT,Roman,Polisiye 
Alamut,Vladımır BARTOL,Roman,Tarihi Eserler
İtiraf,İskender PALA,Roman,Tarihi Eserler
Şu Çılgın Türkler,Turgut ÖZAKMAN,Roman,Tarihi Eserler
Devlet Ana ,Kemal TAHİR,Roman,Tarihi Eserler
Deli Kurt,Nihal ATSIZ,Roman,Tarihi Eserler
Osmancık,Tarık BUĞRA,Roman,Tarihi Eserler
Suskunlar,İhsan Oktay ANAR,Roman,Tarihi Eserler
Beyaz Zambaklar Ülkesinde,Grigoriy PETROV,Roman,Tarihi Eserler